n_imgs,ms,ms_per_img,throughput,regime
1,3.4902334213256836,3.4902334213256836,286.51378841595454,flat (under-utilized)
2,3.4417152404785156,1.7208576202392578,581.1056000443349,flat (under-utilized)
4,3.4319519996643066,0.8579879999160767,1165.5174665587563,flat (under-utilized)
8,3.427243232727051,0.42840540409088135,2334.2375946963107,flat (under-utilized)
16,3.679800033569336,0.2299875020980835,4348.06235502974,flat (under-utilized)
32,3.568887710571289,0.11152774095535278,8966.379050036743,flat (under-utilized)
48,4.918456077575684,0.10246783494949341,9759.160037809932,near-peak
64,5.992591381072998,0.0936342403292656,10679.853827867793,near-peak
96,9.019219875335693,0.09395020703474681,10643.936097236669,near-peak
128,13.528180122375488,0.1056889072060585,9461.730908526946,linear (compute-bound)
192,24.537014961242676,0.12779695292313895,7824.912700394595,linear (compute-bound)
256,31.745862960815426,0.12400727719068526,8064.042874373459,linear (compute-bound)
384,47.163593769073486,0.12282185877362888,8141.873197368596,linear (compute-bound)
512,62.45940923690796,0.12199103366583586,8197.32377003421,linear (compute-bound)
768,101.69904232025146,0.13242062802116075,7551.693531012406,linear (compute-bound)
1024,124.31689500808716,0.12140321778133512,8237.01396285184,linear (compute-bound)
