epoch,eval/knn_probe_accuracy,eval/linear_probe_top1_epoch,eval/linear_probe_top1_step,eval/linear_probe_top5_epoch,eval/linear_probe_top5_step,fit/inv_loss_epoch,fit/inv_loss_step,fit/loss_epoch,fit/loss_step,fit/pool_size_epoch,fit/pool_size_step,fit/reg_loss_epoch,fit/reg_loss_step,step,train/linear_probe_loss_epoch,train/linear_probe_loss_step
0,,,,,,,0.05681060254573822,,0.301772803068161,,32.0,,4.95703125,49,,2.326019287109375
0,,,,,,,0.05437243729829788,,0.27919286489486694,,32.0,,4.55078125,99,,2.41900634765625
0,,,,,,,0.04233751446008682,,0.2673934996128082,,32.0,,4.54296875,149,,2.2801513671875
0,,,,,,,0.06109725683927536,,0.28167521953582764,,32.0,,4.47265625,199,,2.371246337890625
0,,,,,,,0.0803273394703865,,0.2806566655635834,,32.0,,4.0859375,249,,2.3046875
0,,,,,,,0.083253875374794,,0.2775775194168091,,32.0,,3.970703125,299,,2.3843994140625
0,,,,,,,0.06608310341835022,,0.24515199661254883,,32.0,,3.6484375,349,,2.3498382568359375
0,,,,,,,0.09646615386009216,,0.2651047706604004,,32.0,,3.46875,399,,2.228790283203125
0,,,,,,,0.08705758303403854,,0.25580039620399475,,32.0,,3.4609375,449,,2.317352294921875
0,,,,,,,0.08895473182201385,,0.24466323852539062,,32.0,,3.203125,499,,2.1658935546875
0,,,,,,,0.08284623920917511,,0.22689728438854218,,32.0,,2.962890625,549,,2.02191162109375
,,,0.125,,1.0,,,,,,,,,0,,
,,,0.0,,1.0,,,,,,,,,1,,
,,,0.0833333358168602,,1.0,,,,,,,,,2,,
,,,0.0625,,1.0,,,,,,,,,3,,
,,,0.0625,,1.0,,,,,,,,,4,,
,,,0.1041666641831398,,0.9375,,,,,,,,,5,,
,,,0.125,,0.9375,,,,,,,,,6,,
,,,0.125,,1.0,,,,,,,,,7,,
,,,0.09375,,1.0,,,,,,,,,8,,
,,,0.15625,,1.0,,,,,,,,,9,,
,,,0.0416666679084301,,1.0,,,,,,,,,10,,
,,,0.1041666641831398,,1.0,,,,,,,,,11,,
,,,0.02083333395421505,,1.0,,,,,,,,,12,,
,,,0.0416666679084301,,1.0,,,,,,,,,13,,
,,,0.0833333358168602,,1.0,,,,,,,,,14,,
,,,0.0625,,0.9375,,,,,,,,,15,,
,,,0.0625,,1.0,,,,,,,,,16,,
,,,0.1041666641831398,,1.0,,,,,,,,,17,,
,,,0.1041666641831398,,1.0,,,,,,,,,18,,
