Finite-sample bias/variance of W1 and Epps-Pulley estimators
distributions=['standard_normal', 'shifted_normal', 'scaled_normal', 'laplace', 'student_t5', 'uniform', 'mixture_gauss', 'skewnormal']
Ns=[16, 32, 64, 128, 256, 512, 1024, 2048, 4096], n_seeds=100
Aggregation: median over seeds (IQR band on plots).

distribution            N      W1 med     W1 std     W1 ref     W1 bias     TEP med    TEP std
------------------------------------------------------------------------------------------------------
standard_normal        16      0.2774     0.1253     0.0000     +0.2774      +0.350      0.392
standard_normal        32      0.1855     0.0786     0.0000     +0.1855      +0.287      0.402
standard_normal        64      0.1410     0.0562     0.0000     +0.1410      +0.272      0.389
standard_normal       128      0.0993     0.0369     0.0000     +0.0993      +0.277      0.415
standard_normal       256      0.0774     0.0296     0.0000     +0.0774      +0.318      0.414
standard_normal       512      0.0509     0.0222     0.0000     +0.0509      +0.301      0.420
standard_normal      1024      0.0365     0.0144     0.0000     +0.0365      +0.321      0.374
standard_normal      2048      0.0269     0.0102     0.0000     +0.0269      +0.328      0.396
standard_normal      4096      0.0209     0.0089     0.0000     +0.0209      +0.346      0.524

shifted_normal         16      0.5172     0.2197     0.4993     +0.0179      +0.877      1.000
shifted_normal         32      0.5339     0.1528     0.4993     +0.0346      +1.768      1.180
shifted_normal         64      0.5128     0.1258     0.4993     +0.0135      +3.476      1.759
shifted_normal        128      0.4945     0.0888     0.4993     -0.0049      +6.138      2.638
shifted_normal        256      0.5042     0.0563     0.4993     +0.0049     +12.235      2.804
shifted_normal        512      0.5055     0.0365     0.4993     +0.0062     +24.387      3.892
shifted_normal       1024      0.4965     0.0332     0.4993     -0.0028     +47.573      7.152
shifted_normal       2048      0.4897     0.0238     0.4993     -0.0096     +93.606     10.287
shifted_normal       4096      0.5000     0.0159     0.4993     +0.0007    +192.259     13.092

scaled_normal          16      0.5179     0.2085     0.3976     +0.1203      +0.914      0.750
scaled_normal          32      0.4690     0.1459     0.3976     +0.0714      +1.604      0.969
scaled_normal          64      0.4428     0.1074     0.3976     +0.0452      +2.523      1.393
scaled_normal         128      0.4394     0.0758     0.3976     +0.0418      +5.058      1.675
scaled_normal         256      0.4116     0.0538     0.3976     +0.0140      +8.987      2.360
scaled_normal         512      0.4004     0.0362     0.3976     +0.0028     +17.313      3.404
scaled_normal        1024      0.4025     0.0297     0.3976     +0.0049     +35.123      5.301
scaled_normal        2048      0.3997     0.0193     0.3976     +0.0021     +69.986      6.465
scaled_normal        4096      0.3975     0.0140     0.3976     -0.0001    +136.766      9.877

laplace                16      0.2969     0.1151     0.1460     +0.1509      +0.378      0.290
laplace                32      0.2482     0.0885     0.1460     +0.1022      +0.473      0.406
laplace                64      0.2126     0.0528     0.1460     +0.0666      +0.878      0.469
laplace               128      0.1826     0.0414     0.1460     +0.0366      +1.199      0.649
laplace               256      0.1595     0.0279     0.1460     +0.0135      +1.891      0.829
laplace               512      0.1512     0.0189     0.1460     +0.0052      +3.499      1.233
laplace              1024      0.1464     0.0135     0.1460     +0.0004      +7.105      1.664
laplace              2048      0.1500     0.0116     0.1460     +0.0041     +14.031      2.609
laplace              4096      0.1462     0.0072     0.1460     +0.0003     +26.915      3.307

student_t5             16      0.2809     0.1129     0.1028     +0.1780      +0.347      0.291
student_t5             32      0.2295     0.0743     0.1028     +0.1266      +0.362      0.357
student_t5             64      0.1757     0.0563     0.1028     +0.0729      +0.468      0.496
student_t5            128      0.1445     0.0396     0.1028     +0.0416      +0.674      0.524
student_t5            256      0.1182     0.0303     0.1028     +0.0153      +1.120      0.735
student_t5            512      0.1111     0.0213     0.1028     +0.0083      +1.984      0.891
student_t5           1024      0.1085     0.0176     0.1028     +0.0057      +3.996      1.393
student_t5           2048      0.1053     0.0121     0.1028     +0.0025      +7.377      1.863
student_t5           4096      0.1042     0.0079     0.1028     +0.0014     +14.122      2.559

uniform                16      0.2854     0.1403     0.1538     +0.1316      +0.321      0.628
uniform                32      0.2281     0.0688     0.1538     +0.0743      +0.511      0.425
uniform                64      0.2022     0.0512     0.1538     +0.0484      +0.741      0.534
uniform               128      0.1807     0.0371     0.1538     +0.0269      +1.195      0.730
uniform               256      0.1607     0.0276     0.1538     +0.0069      +1.816      0.872
uniform               512      0.1565     0.0189     0.1538     +0.0027      +3.497      1.169
uniform              1024      0.1587     0.0123     0.1538     +0.0050      +7.190      1.481
uniform              2048      0.1561     0.0093     0.1538     +0.0023     +13.700      2.290
uniform              4096      0.1545     0.0074     0.1538     +0.0007     +26.674      3.302

mixture_gauss          16      0.2944     0.0960     0.1986     +0.0958      +0.472      0.460
mixture_gauss          32      0.2504     0.0736     0.1986     +0.0517      +0.615      0.551
mixture_gauss          64      0.2264     0.0376     0.1986     +0.0278      +0.903      0.571
mixture_gauss         128      0.2096     0.0272     0.1986     +0.0110      +1.459      0.673
mixture_gauss         256      0.2098     0.0200     0.1986     +0.0111      +3.174      0.961
mixture_gauss         512      0.2043     0.0130     0.1986     +0.0057      +5.855      1.223
mixture_gauss        1024      0.2008     0.0095     0.1986     +0.0022     +11.320      1.588
mixture_gauss        2048      0.1990     0.0064     0.1986     +0.0003     +21.682      2.152
mixture_gauss        4096      0.1976     0.0051     0.1986     -0.0010     +42.297      3.347

skewnormal             16      0.2958     0.1116     0.1425     +0.1533      +0.380      0.389
skewnormal             32      0.2335     0.0975     0.1425     +0.0909      +0.543      0.663
skewnormal             64      0.1983     0.0576     0.1425     +0.0557      +0.737      0.672
skewnormal            128      0.1739     0.0449     0.1425     +0.0314      +1.161      0.878
skewnormal            256      0.1576     0.0325     0.1425     +0.0151      +2.101      1.185
skewnormal            512      0.1511     0.0210     0.1425     +0.0086      +4.069      1.490
skewnormal           1024      0.1417     0.0160     0.1425     -0.0009      +7.042      2.073
skewnormal           2048      0.1458     0.0121     0.1425     +0.0032     +14.628      3.077
skewnormal           4096      0.1426     0.0093     0.1425     +0.0000     +28.550      4.880

