Per-sample gradient bias/variance at fixed anchor points
distributions=['standard_normal', 'shifted_normal', 'scaled_normal', 'laplace', 'student_t5', 'uniform', 'mixture_gauss', 'skewnormal']
anchors=[-1.5, -0.5, 0.5, 1.5], Ns=[16, 32, 64, 128, 256, 512, 1024, 2048, 4096], n_seeds=2000
Aggregation: median over seeds (IQR / std).

loss  distribution           y*      N        med grad       std grad  |med|/std
--------------------------------------------------------------------------------------
w1    standard_normal     -1.50     16     -6.2500e-02     5.8769e-02      1.063
w1    standard_normal     -1.50     32     -3.1250e-02     3.0265e-02      1.033
w1    standard_normal     -1.50     64     -1.5625e-02     1.5390e-02      1.015
w1    standard_normal     -1.50    128     +7.8125e-03     7.8076e-03      1.001
w1    standard_normal     -1.50    256     -3.9062e-03     3.9031e-03      1.001
w1    standard_normal     -1.50    512     -1.9531e-03     1.9474e-03      1.003
w1    standard_normal     -1.50   1024     -9.7656e-04     9.7310e-04      1.004
w1    standard_normal     -1.50   2048     -4.8828e-04     4.8830e-04      1.000
w1    standard_normal     -1.50   4096     +2.4414e-04     2.4419e-04      1.000
w1    standard_normal     -0.50     16     -6.2500e-02     6.2505e-02      1.000
w1    standard_normal     -0.50     32     +3.1250e-02     3.1235e-02      1.000
w1    standard_normal     -0.50     64     +1.5625e-02     1.5624e-02      1.000
w1    standard_normal     -0.50    128     -7.8125e-03     7.7930e-03      1.002
w1    standard_normal     -0.50    256     -3.9062e-03     3.9072e-03      1.000
w1    standard_normal     -0.50    512     -1.9531e-03     1.9524e-03      1.000
w1    standard_normal     -0.50   1024     -9.7656e-04     9.7674e-04      1.000
w1    standard_normal     -0.50   2048     -4.8828e-04     4.8830e-04      1.000
w1    standard_normal     -0.50   4096     -2.4414e-04     2.4420e-04      1.000
w1    standard_normal     +0.50     16     +6.2500e-02     6.2414e-02      1.001
w1    standard_normal     +0.50     32     +3.1250e-02     3.1242e-02      1.000
w1    standard_normal     +0.50     64     -1.5625e-02     1.5629e-02      1.000
w1    standard_normal     +0.50    128     +7.8125e-03     7.7745e-03      1.005
w1    standard_normal     +0.50    256     +3.9062e-03     3.9071e-03      1.000
w1    standard_normal     +0.50    512     -1.9531e-03     1.9536e-03      1.000
w1    standard_normal     +0.50   1024     -9.7656e-04     9.7642e-04      1.000
w1    standard_normal     +0.50   2048     -4.8828e-04     4.8817e-04      1.000
w1    standard_normal     +0.50   4096     +2.4414e-04     2.4406e-04      1.000
w1    standard_normal     +1.50     16     +6.2500e-02     5.9456e-02      1.051
w1    standard_normal     +1.50     32     +3.1250e-02     3.0157e-02      1.036
w1    standard_normal     +1.50     64     +1.5625e-02     1.5300e-02      1.021
w1    standard_normal     +1.50    128     -7.8125e-03     7.8043e-03      1.001
w1    standard_normal     +1.50    256     +3.9062e-03     3.9038e-03      1.001
w1    standard_normal     +1.50    512     +1.9531e-03     1.9462e-03      1.004
w1    standard_normal     +1.50   1024     +9.7656e-04     9.7563e-04      1.001
w1    standard_normal     +1.50   2048     +4.8828e-04     4.8769e-04      1.001
w1    standard_normal     +1.50   4096     +2.4414e-04     2.4417e-04      1.000

w1    shifted_normal      -1.50     16     +6.2500e-02     5.6963e-02      1.097
w1    shifted_normal      -1.50     32     +3.1250e-02     2.2353e-02      1.398
w1    shifted_normal      -1.50     64     +1.5625e-02     7.1262e-03      2.193
w1    shifted_normal      -1.50    128     +7.8125e-03     7.8047e-04     10.010
w1    shifted_normal      -1.50    256     +3.9062e-03     1.7469e-04     22.361
w1    shifted_normal      -1.50    512     +1.9531e-03     0.0000e+00 1953124999999999763959250944.000
