Exp 1.2: Standard vs Pooled Accumulation
d=4, K=1024, micro_bs=8, steps=10000, seeds=3

Distribution       Method                 M   T              W1
----------------------------------------------------------------------
blobs              w1_standard            8   1  0.1414+/-0.0181
blobs              w1_standard            8   2  0.1239+/-0.0143
blobs              w1_standard            8   4  0.1204+/-0.0065
blobs              w1_standard            8   8  0.1316+/-0.0077
blobs              w1_standard            8  16  0.1325+/-0.0148
blobs              w1_standard            8  32  0.1222+/-0.0026
blobs              w1_pooled              8   1  0.1414+/-0.0181
blobs              w1_pooled              8   2  0.0952+/-0.0115
blobs              w1_pooled              8   4  0.0768+/-0.0183
blobs              w1_pooled              8   8  0.0962+/-0.0096
blobs              w1_pooled              8  16  0.0643+/-0.0036
blobs              w1_pooled              8  32  0.0657+/-0.0073
blobs              w2_standard            8   1  0.1299+/-0.0120
blobs              w2_standard            8   2  0.1306+/-0.0132
blobs              w2_standard            8   4  0.1176+/-0.0194
blobs              w2_standard            8   8  0.1245+/-0.0149
blobs              w2_standard            8  16  0.1186+/-0.0004
blobs              w2_standard            8  32  0.1139+/-0.0030
blobs              w2_pooled              8   1  0.1299+/-0.0120
blobs              w2_pooled              8   2  0.1084+/-0.0260
blobs              w2_pooled              8   4  0.0809+/-0.0170
blobs              w2_pooled              8   8  0.0839+/-0.0029
blobs              w2_pooled              8  16  0.0663+/-0.0098
blobs              w2_pooled              8  32  0.0707+/-0.0074
blobs              sigreg_standard        8   1  0.1444+/-0.0120
blobs              sigreg_standard        8   2  0.1202+/-0.0095
blobs              sigreg_standard        8   4  0.1292+/-0.0136
blobs              sigreg_standard        8   8  0.1160+/-0.0070
blobs              sigreg_standard        8  16  0.1154+/-0.0056
blobs              sigreg_standard        8  32  0.1098+/-0.0079
blobs              sigreg_pooled          8   1  0.1444+/-0.0120
blobs              sigreg_pooled          8   2  0.1069+/-0.0104
blobs              sigreg_pooled          8   4  0.0953+/-0.0155
blobs              sigreg_pooled          8   8  0.0859+/-0.0261
blobs              sigreg_pooled          8  16  0.0762+/-0.0075
blobs              sigreg_pooled          8  32  0.0607+/-0.0076
blobs              w1_standard           32   1  0.1308+/-0.0046
blobs              w1_standard           32   2  0.1339+/-0.0086
blobs              w1_standard           32   4  0.1244+/-0.0107
blobs              w1_standard           32   8  0.1364+/-0.0037
blobs              w1_standard           32  16  0.1292+/-0.0042
blobs              w1_standard           32  32  0.1283+/-0.0052
blobs              w1_pooled             32   1  0.1308+/-0.0046
blobs              w1_pooled             32   2  0.1088+/-0.0078
blobs              w1_pooled             32   4  0.0835+/-0.0050
blobs              w1_pooled             32   8  0.0852+/-0.0066
blobs              w1_pooled             32  16  0.0698+/-0.0166
blobs              w1_pooled             32  32  0.0654+/-0.0043
blobs              w2_standard           32   1  0.1296+/-0.0114
blobs              w2_standard           32   2  0.1426+/-0.0180
blobs              w2_standard           32   4  0.1257+/-0.0040
blobs              w2_standard           32   8  0.1208+/-0.0074
blobs              w2_standard           32  16  0.1281+/-0.0040
blobs              w2_standard           32  32  0.1179+/-0.0041
blobs              w2_pooled             32   1  0.1296+/-0.0114
blobs              w2_pooled             32   2  0.1044+/-0.0136
blobs              w2_pooled             32   4  0.0984+/-0.0048
blobs              w2_pooled             32   8  0.0832+/-0.0161
blobs              w2_pooled             32  16  0.0668+/-0.0035
blobs              w2_pooled             32  32  0.0706+/-0.0073
blobs              sigreg_standard       32   1  0.1456+/-0.0127
blobs              sigreg_standard       32   2  0.1172+/-0.0052
blobs              sigreg_standard       32   4  0.1180+/-0.0069
blobs              sigreg_standard       32   8  0.1137+/-0.0026
blobs              sigreg_standard       32  16  0.1168+/-0.0025
blobs              sigreg_standard       32  32  0.1104+/-0.0082
blobs              sigreg_pooled         32   1  0.1456+/-0.0127
blobs              sigreg_pooled         32   2  0.0928+/-0.0107
blobs              sigreg_pooled         32   4  0.0936+/-0.0073
blobs              sigreg_pooled         32   8  0.0898+/-0.0088
blobs              sigreg_pooled         32  16  0.0717+/-0.0035
blobs              sigreg_pooled         32  32  0.0723+/-0.0085

diagonal_cross     w1_standard            8   1  0.1136+/-0.0178
diagonal_cross     w1_standard            8   2  0.1181+/-0.0072
diagonal_cross     w1_standard            8   4  0.1168+/-0.0066
diagonal_cross     w1_standard            8   8  0.1130+/-0.0036
diagonal_cross     w1_standard            8  16  0.1237+/-0.0033
diagonal_cross     w1_standard            8  32  0.1227+/-0.0041
diagonal_cross     w1_pooled              8   1  0.1136+/-0.0178
diagonal_cross     w1_pooled              8   2  0.0860+/-0.0071
diagonal_cross     w1_pooled              8   4  0.0840+/-0.0132
diagonal_cross     w1_pooled              8   8  0.0752+/-0.0141
diagonal_cross     w1_pooled              8  16  0.0667+/-0.0030
diagonal_cross     w1_pooled              8  32  0.0529+/-0.0055
diagonal_cross     w2_standard            8   1  0.1123+/-0.0114
diagonal_cross     w2_standard            8   2  0.1122+/-0.0073
diagonal_cross     w2_standard            8   4  0.1139+/-0.0085
diagonal_cross     w2_standard            8   8  0.1108+/-0.0110
diagonal_cross     w2_standard            8  16  0.1081+/-0.0078
diagonal_cross     w2_standard            8  32  0.1130+/-0.0052
diagonal_cross     w2_pooled              8   1  0.1123+/-0.0114
diagonal_cross     w2_pooled              8   2  0.0869+/-0.0057
diagonal_cross     w2_pooled              8   4  0.0742+/-0.0090
diagonal_cross     w2_pooled              8   8  0.0553+/-0.0032
diagonal_cross     w2_pooled              8  16  0.0587+/-0.0055
diagonal_cross     w2_pooled              8  32  0.0656+/-0.0048
diagonal_cross     sigreg_standard        8   1  0.1162+/-0.0089
diagonal_cross     sigreg_standard        8   2  0.1220+/-0.0076
diagonal_cross     sigreg_standard        8   4  0.1180+/-0.0104
diagonal_cross     sigreg_standard        8   8  0.1109+/-0.0092
