Exp 1.2: Standard vs Pooled vs Big-Batch Accumulation
d=4, K=16384, micro_bs=32, epochs=80 (Option B), seeds=3

Distribution       Method                 M   T              W1
----------------------------------------------------------------------
blobs              w1_standard            8   1  0.0941+/-0.0102
blobs              w1_standard            8   2  0.0746+/-0.0136
blobs              w1_standard            8   4  0.0827+/-0.0064
blobs              w1_standard            8   8  0.0855+/-0.0039
blobs              w1_standard            8  16  0.0877+/-0.0222
blobs              w1_standard            8  32  0.0730+/-0.0080
blobs              w1_pooled              8   1  0.0941+/-0.0102
blobs              w1_pooled              8   2  0.0728+/-0.0036
blobs              w1_pooled              8   4  0.0629+/-0.0033
blobs              w1_pooled              8   8  0.0624+/-0.0090
blobs              w1_pooled              8  16  0.0706+/-0.0158
blobs              w1_pooled              8  32  0.0730+/-0.0101
blobs              w1_bigbatch            8   1  0.0941+/-0.0102
blobs              w1_bigbatch            8   2  0.0616+/-0.0033
blobs              w1_bigbatch            8   4  0.0626+/-0.0172
blobs              w1_bigbatch            8   8  0.0596+/-0.0148
blobs              w1_bigbatch            8  16  0.0587+/-0.0088
blobs              w1_bigbatch            8  32  0.0677+/-0.0061
blobs              w2_standard            8   1  0.0802+/-0.0194
blobs              w2_standard            8   2  0.0654+/-0.0048
blobs              w2_standard            8   4  0.0679+/-0.0073
blobs              w2_standard            8   8  0.0651+/-0.0076
blobs              w2_standard            8  16  0.0767+/-0.0155
blobs              w2_standard            8  32  0.0688+/-0.0186
blobs              w2_pooled              8   1  0.0802+/-0.0194
blobs              w2_pooled              8   2  0.0695+/-0.0102
blobs              w2_pooled              8   4  0.0568+/-0.0024
blobs              w2_pooled              8   8  0.0569+/-0.0080
blobs              w2_pooled              8  16  0.0704+/-0.0106
blobs              w2_pooled              8  32  0.0627+/-0.0081
blobs              w2_bigbatch            8   1  0.0802+/-0.0194
blobs              w2_bigbatch            8   2  0.0598+/-0.0042
blobs              w2_bigbatch            8   4  0.0657+/-0.0125
blobs              w2_bigbatch            8   8  0.0479+/-0.0014
blobs              w2_bigbatch            8  16  0.0564+/-0.0112
blobs              w2_bigbatch            8  32  0.0559+/-0.0063
blobs              sigreg_standard        8   1  0.0824+/-0.0070
blobs              sigreg_standard        8   2  0.0962+/-0.0142
blobs              sigreg_standard        8   4  0.0841+/-0.0045
blobs              sigreg_standard        8   8  0.0898+/-0.0024
blobs              sigreg_standard        8  16  0.0840+/-0.0068
blobs              sigreg_standard        8  32  0.0912+/-0.0063
blobs              sigreg_pooled          8   1  0.0824+/-0.0070
blobs              sigreg_pooled          8   2  0.0897+/-0.0089
blobs              sigreg_pooled          8   4  0.0762+/-0.0061
blobs              sigreg_pooled          8   8  0.0783+/-0.0191
blobs              sigreg_pooled          8  16  0.1050+/-0.0153
blobs              sigreg_pooled          8  32  0.0927+/-0.0067
blobs              sigreg_bigbatch        8   1  0.0824+/-0.0070
blobs              sigreg_bigbatch        8   2  0.1079+/-0.0293
blobs              sigreg_bigbatch        8   4  0.0753+/-0.0063
blobs              sigreg_bigbatch        8   8  0.0777+/-0.0083
blobs              sigreg_bigbatch        8  16  0.0789+/-0.0045
blobs              sigreg_bigbatch        8  32  0.0814+/-0.0049

diagonal_cross     w1_standard            8   1  0.0854+/-0.0028
diagonal_cross     w1_standard            8   2  0.0710+/-0.0019
diagonal_cross     w1_standard            8   4  0.0728+/-0.0068
diagonal_cross     w1_standard            8   8  0.0696+/-0.0036
diagonal_cross     w1_standard            8  16  0.0679+/-0.0047
diagonal_cross     w1_standard            8  32  0.0636+/-0.0032
diagonal_cross     w1_pooled              8   1  0.0854+/-0.0028
diagonal_cross     w1_pooled              8   2  0.0785+/-0.0074
diagonal_cross     w1_pooled              8   4  0.0599+/-0.0040
diagonal_cross     w1_pooled              8   8  0.0563+/-0.0046
diagonal_cross     w1_pooled              8  16  0.0503+/-0.0030
diagonal_cross     w1_pooled              8  32  0.0569+/-0.0033
diagonal_cross     w1_bigbatch            8   1  0.0854+/-0.0028
diagonal_cross     w1_bigbatch            8   2  0.0662+/-0.0063
diagonal_cross     w1_bigbatch            8   4  0.0617+/-0.0040
diagonal_cross     w1_bigbatch            8   8  0.0545+/-0.0016
diagonal_cross     w1_bigbatch            8  16  0.0526+/-0.0002
diagonal_cross     w1_bigbatch            8  32  0.0447+/-0.0028
diagonal_cross     w2_standard            8   1  0.0771+/-0.0037
diagonal_cross     w2_standard            8   2  0.0708+/-0.0045
diagonal_cross     w2_standard            8   4  0.0612+/-0.0010
diagonal_cross     w2_standard            8   8  0.0633+/-0.0059
diagonal_cross     w2_standard            8  16  0.0623+/-0.0038
diagonal_cross     w2_standard            8  32  0.0557+/-0.0013
diagonal_cross     w2_pooled              8   1  0.0771+/-0.0037
diagonal_cross     w2_pooled              8   2  0.0691+/-0.0046
diagonal_cross     w2_pooled              8   4  0.0509+/-0.0024
diagonal_cross     w2_pooled              8   8  0.0520+/-0.0075
diagonal_cross     w2_pooled              8  16  0.0575+/-0.0113
diagonal_cross     w2_pooled              8  32  0.0556+/-0.0043
diagonal_cross     w2_bigbatch            8   1  0.0771+/-0.0037
diagonal_cross     w2_bigbatch            8   2  0.0609+/-0.0070
diagonal_cross     w2_bigbatch            8   4  0.0507+/-0.0077
diagonal_cross     w2_bigbatch            8   8  0.0562+/-0.0014
diagonal_cross     w2_bigbatch            8  16  0.0549+/-0.0092
diagonal_cross     w2_bigbatch            8  32  0.0435+/-0.0047
diagonal_cross     sigreg_standard        8   1  0.0928+/-0.0086
diagonal_cross     sigreg_standard        8   2  0.0833+/-0.0062
diagonal_cross     sigreg_standard        8   4  0.0832+/-0.0056
diagonal_cross     sigreg_standard        8   8  0.0759+/-0.0022
diagonal_cross     sigreg_standard        8  16  0.0711+/-0.0010
diagonal_cross     sigreg_standard        8  32  0.0721+/-0.0045
diagonal_cross     sigreg_pooled          8   1  0.0928+/-0.0086
diagonal_cross     sigreg_pooled          8   2  0.0856+/-0.0071
diagonal_cross     sigreg_pooled          8   4  0.0674+/-0.0019
diagonal_cross     sigreg_pooled          8   8  0.0692+/-0.0032
diagonal_cross     sigreg_pooled          8  16  0.0680+/-0.0025
diagonal_cross     sigreg_pooled          8  32  0.0664+/-0.0042
diagonal_cross     sigreg_bigbatch        8   1  0.0928+/-0.0086
diagonal_cross     sigreg_bigbatch        8   2  0.0728+/-0.0058
diagonal_cross     sigreg_bigbatch        8   4  0.0670+/-0.0024
diagonal_cross     sigreg_bigbatch        8   8  0.0725+/-0.0021
diagonal_cross     sigreg_bigbatch        8  16  0.0658+/-0.0019
diagonal_cross     sigreg_bigbatch        8  32  0.0638+/-0.0029

ring               w1_standard            8   1  0.0753+/-0.0050
ring               w1_standard            8   2  0.0729+/-0.0139
ring               w1_standard            8   4  0.0744+/-0.0062
ring               w1_standard            8   8  0.0597+/-0.0039
ring               w1_standard            8  16  0.0534+/-0.0065
ring               w1_standard            8  32  0.0604+/-0.0071
ring               w1_pooled              8   1  0.0753+/-0.0050
ring               w1_pooled              8   2  0.0531+/-0.0028
ring               w1_pooled              8   4  0.0565+/-0.0131
ring               w1_pooled              8   8  0.0502+/-0.0047
ring               w1_pooled              8  16  0.0398+/-0.0045
ring               w1_pooled              8  32  0.0572+/-0.0044
ring               w1_bigbatch            8   1  0.0753+/-0.0050
ring               w1_bigbatch            8   2  0.0602+/-0.0037
ring               w1_bigbatch            8   4  0.0460+/-0.0068
ring               w1_bigbatch            8   8  0.0381+/-0.0099
ring               w1_bigbatch            8  16  0.0287+/-0.0022
ring               w1_bigbatch            8  32  0.0393+/-0.0104
ring               w2_standard            8   1  0.0624+/-0.0071
ring               w2_standard            8   2  0.0629+/-0.0059
ring               w2_standard            8   4  0.0636+/-0.0029
ring               w2_standard            8   8  0.0533+/-0.0056
ring               w2_standard            8  16  0.0466+/-0.0042
ring               w2_standard            8  32  0.0542+/-0.0043
ring               w2_pooled              8   1  0.0624+/-0.0071
ring               w2_pooled              8   2  0.0558+/-0.0073
ring               w2_pooled              8   4  0.0527+/-0.0159
ring               w2_pooled              8   8  0.0507+/-0.0024
ring               w2_pooled              8  16  0.0429+/-0.0096
ring               w2_pooled              8  32  0.0417+/-0.0025
ring               w2_bigbatch            8   1  0.0624+/-0.0071
ring               w2_bigbatch            8   2  0.0597+/-0.0092
ring               w2_bigbatch            8   4  0.0493+/-0.0148
ring               w2_bigbatch            8   8  0.0384+/-0.0064
ring               w2_bigbatch            8  16  0.0338+/-0.0053
ring               w2_bigbatch            8  32  0.0393+/-0.0120
ring               sigreg_standard        8   1  0.0696+/-0.0110
ring               sigreg_standard        8   2  0.0749+/-0.0124
ring               sigreg_standard        8   4  0.0659+/-0.0072
ring               sigreg_standard        8   8  0.0673+/-0.0119
ring               sigreg_standard        8  16  0.0595+/-0.0032
ring               sigreg_standard        8  32  0.0631+/-0.0057
ring               sigreg_pooled          8   1  0.0696+/-0.0110
ring               sigreg_pooled          8   2  0.0672+/-0.0034
ring               sigreg_pooled          8   4  0.0655+/-0.0139
ring               sigreg_pooled          8   8  0.0586+/-0.0058
ring               sigreg_pooled          8  16  0.0582+/-0.0090
ring               sigreg_pooled          8  32  0.0568+/-0.0040
ring               sigreg_bigbatch        8   1  0.0696+/-0.0110
ring               sigreg_bigbatch        8   2  0.0607+/-0.0012
ring               sigreg_bigbatch        8   4  0.0628+/-0.0191
ring               sigreg_bigbatch        8   8  0.0595+/-0.0139
ring               sigreg_bigbatch        8  16  0.0582+/-0.0056
ring               sigreg_bigbatch        8  32  0.0565+/-0.0068

