Exp 1.3: DDP Simulation
d=4, M=32, BS_per_device=64, accum_steps=4, K=1024, steps=10000, seeds=3

Distribution       Mode                     D              W1
-----------------------------------------------------------------
blobs              local_sigreg             1  0.0719+/-0.0034
blobs              local_sigreg             2  0.0617+/-0.0055
blobs              local_sigreg             4  0.0592+/-0.0149
blobs              local_sigreg             8  0.0550+/-0.0011
blobs              local_sigreg            16  0.0448+/-0.0031
blobs              global_sigreg            1  0.0719+/-0.0034
blobs              global_sigreg            2  0.0693+/-0.0060
blobs              global_sigreg            4  0.0657+/-0.0084
blobs              global_sigreg            8  0.0418+/-0.0030
blobs              global_sigreg           16  0.0438+/-0.0028
blobs              pooled_sigreg            1  0.0650+/-0.0022
blobs              pooled_sigreg            2  0.0545+/-0.0067
blobs              pooled_sigreg            4  0.0512+/-0.0045
blobs              pooled_sigreg            8  0.0459+/-0.0021
blobs              pooled_sigreg           16  0.0415+/-0.0016
blobs              pooled_global_sigreg     1  0.0650+/-0.0022
blobs              pooled_global_sigreg     2  0.0507+/-0.0003
blobs              pooled_global_sigreg     4  0.0559+/-0.0050
blobs              pooled_global_sigreg     8  0.0503+/-0.0046
blobs              pooled_global_sigreg    16  0.0432+/-0.0025
blobs              local_w1                 1  0.0569+/-0.0053
blobs              local_w1                 2  0.0605+/-0.0084
blobs              local_w1                 4  0.0540+/-0.0017
blobs              local_w1                 8  0.0419+/-0.0030
blobs              local_w1                16  0.0476+/-0.0030
blobs              global_w1                1  0.0569+/-0.0053
blobs              global_w1                2  0.0546+/-0.0018
blobs              global_w1                4  0.0515+/-0.0070
blobs              global_w1                8  0.0423+/-0.0059
blobs              global_w1               16  0.0368+/-0.0091
blobs              pooled_w1                1  0.0553+/-0.0010
blobs              pooled_w1                2  0.0425+/-0.0039
blobs              pooled_w1                4  0.0431+/-0.0009
blobs              pooled_w1                8  0.0326+/-0.0019
blobs              pooled_w1               16  0.0327+/-0.0047
blobs              pooled_global_w1         1  0.0553+/-0.0010
blobs              pooled_global_w1         2  0.0454+/-0.0016
blobs              pooled_global_w1         4  0.0363+/-0.0006
blobs              pooled_global_w1         8  0.0344+/-0.0031
blobs              pooled_global_w1        16  0.0361+/-0.0092

diagonal_cross     local_sigreg             1  0.0714+/-0.0133
diagonal_cross     local_sigreg             2  0.0670+/-0.0103
diagonal_cross     local_sigreg             4  0.0591+/-0.0057
diagonal_cross     local_sigreg             8  0.0506+/-0.0068
diagonal_cross     local_sigreg            16  0.0469+/-0.0037
diagonal_cross     global_sigreg            1  0.0714+/-0.0133
diagonal_cross     global_sigreg            2  0.0622+/-0.0072
diagonal_cross     global_sigreg            4  0.0594+/-0.0028
diagonal_cross     global_sigreg            8  0.0514+/-0.0017
diagonal_cross     global_sigreg           16  0.0558+/-0.0022
diagonal_cross     pooled_sigreg            1  0.0673+/-0.0042
diagonal_cross     pooled_sigreg            2  0.0646+/-0.0008
diagonal_cross     pooled_sigreg            4  0.0601+/-0.0010
diagonal_cross     pooled_sigreg            8  0.0558+/-0.0023
