Exp 1.3: DDP Simulation
d=4, M=8, BS_per_device=32, accum_steps=8, K=16384, epochs=80 (Option A), seeds=3

Distribution       Mode                     D              W1
-----------------------------------------------------------------
blobs              local_sigreg             1  0.0824+/-0.0070
blobs              local_sigreg             2  0.0962+/-0.0142
blobs              local_sigreg             4  0.0841+/-0.0045
blobs              local_sigreg             8  0.0898+/-0.0024
blobs              local_sigreg            16  0.0840+/-0.0068
blobs              local_sigreg            32  0.0912+/-0.0063
blobs              local_sigreg            64  0.0836+/-0.0151
blobs              global_sigreg            1  0.0824+/-0.0070
blobs              global_sigreg            2  0.1012+/-0.0309
blobs              global_sigreg            4  0.0754+/-0.0067
blobs              global_sigreg            8  0.0777+/-0.0083
blobs              global_sigreg           16  0.0789+/-0.0045
blobs              global_sigreg           32  0.0814+/-0.0049
blobs              global_sigreg           64  0.0840+/-0.0143
blobs              pooled_sigreg            1  0.0573+/-0.0061
blobs              pooled_sigreg            2  0.0524+/-0.0058
blobs              pooled_sigreg            4  0.0566+/-0.0106
blobs              pooled_sigreg            8  0.0590+/-0.0063
blobs              pooled_sigreg           16  0.0586+/-0.0083
blobs              pooled_sigreg           32  0.0592+/-0.0077
blobs              pooled_sigreg           64  0.0627+/-0.0119
blobs              pooled_global_sigreg     1  0.0573+/-0.0061
blobs              pooled_global_sigreg     2  0.0531+/-0.0036
blobs              pooled_global_sigreg     4  0.0610+/-0.0057
blobs              pooled_global_sigreg     8  0.0595+/-0.0091
blobs              pooled_global_sigreg    16  0.0647+/-0.0060
blobs              pooled_global_sigreg    32  0.0701+/-0.0134
blobs              pooled_global_sigreg    64  0.0786+/-0.0178
blobs              local_w1                 1  0.0941+/-0.0102
blobs              local_w1                 2  0.0746+/-0.0136
blobs              local_w1                 4  0.0827+/-0.0064
blobs              local_w1                 8  0.0855+/-0.0039
blobs              local_w1                16  0.0877+/-0.0222
blobs              local_w1                32  0.0730+/-0.0080
blobs              local_w1                64  0.0657+/-0.0027
blobs              global_w1                1  0.0941+/-0.0102
blobs              global_w1                2  0.0616+/-0.0033
blobs              global_w1                4  0.0626+/-0.0172
blobs              global_w1                8  0.0596+/-0.0148
blobs              global_w1               16  0.0587+/-0.0088
blobs              global_w1               32  0.0677+/-0.0061
blobs              global_w1               64  0.0578+/-0.0072
blobs              pooled_w1                1  0.0416+/-0.0006
