Exp 1.6: SIGReg Bias Variants
d=4, M=8, steps=10000, seeds=3
Aggregation: median across seeds (min/max as error bars)

Distribution       Variant         K     W1 median     W1 min     W1 max
---------------------------------------------------------------------------
blobs              biased         64        0.0693     0.0684     0.0694
blobs              ustat          64        0.0707     0.0698     0.0710
blobs              split          64        0.7461     0.7423     1.1392

blobs              biased        128        0.0520     0.0501     0.0530
blobs              ustat         128        0.0524     0.0509     0.0537
blobs              split         128        0.8443     0.7654     0.9608

blobs              biased        256        0.0445     0.0409     0.0537
blobs              ustat         256        0.0415     0.0396     0.0434
blobs              split         256        0.8135     0.7843     0.8447

blobs              biased        512        0.0345     0.0321     0.0353
blobs              ustat         512        0.0347     0.0315     0.0377
blobs              split         512        0.7023     0.6973     0.7857

blobs              biased       1024        0.0274     0.0254     0.0312
blobs              ustat        1024        0.0251     0.0251     0.0319
blobs              split        1024        0.7189     0.6641     0.7189

blobs              biased       2048        0.0259     0.0230     0.0273
blobs              ustat        2048        0.0263     0.0235     0.0284
blobs              split        2048        0.5919     0.5884     0.6082

blobs              biased       4096        0.0216     0.0198     0.0322
blobs              ustat        4096        0.0219     0.0212     0.0318
blobs              split        4096        0.5220     0.4948     0.5659

blobs              biased      16384        0.0182     0.0176     0.0224
blobs              ustat       16384        0.0193     0.0158     0.0272
blobs              split       16384        0.1265     0.1091     0.2951

diagonal_cross     biased         64        0.0667     0.0659     0.0708
diagonal_cross     ustat          64        0.0683     0.0679     0.0724
diagonal_cross     split          64        0.9430     0.9307     1.1308

diagonal_cross     biased        128        0.0527     0.0511     0.0527
diagonal_cross     ustat         128        0.0519     0.0505     0.0544
diagonal_cross     split         128        1.1110     0.9159     1.2000

diagonal_cross     biased        256        0.0411     0.0402     0.0420
diagonal_cross     ustat         256        0.0406     0.0405     0.0422
diagonal_cross     split         256        0.8082     0.7710     0.9181

diagonal_cross     biased        512        0.0331     0.0328     0.0332
diagonal_cross     ustat         512        0.0336     0.0331     0.0339
diagonal_cross     split         512        0.7250     0.7013     0.7318

diagonal_cross     biased       1024        0.0277     0.0265     0.0285
diagonal_cross     ustat        1024        0.0270     0.0266     0.0271
diagonal_cross     split        1024        0.6571     0.6168     0.6573

diagonal_cross     biased       2048        0.0246     0.0245     0.0253
diagonal_cross     ustat        2048        0.0249     0.0247     0.0250
diagonal_cross     split        2048        0.6514     0.5562     0.6538

diagonal_cross     biased       4096        0.0241     0.0233     0.0246
diagonal_cross     ustat        4096        0.0232     0.0232     0.0232
diagonal_cross     split        4096        0.5727     0.5252     0.5842

diagonal_cross     biased      16384        0.0221     0.0219     0.0244
diagonal_cross     ustat       16384        0.0232     0.0215     0.0246
diagonal_cross     split       16384        0.2215     0.1716     0.2579

ring               biased         64        0.0667     0.0657     0.0678
ring               ustat          64        0.0683     0.0672     0.0696
ring               split          64        0.9584     0.5904     1.5327

ring               biased        128        0.0506     0.0500     0.0506
ring               ustat         128        0.0521     0.0520     0.0524
ring               split         128        0.7597     0.5966     0.8414

ring               biased        256        0.0380     0.0378     0.0398
ring               ustat         256        0.0378     0.0377     0.0385
ring               split         256        0.8922     0.7589     1.1012

ring               biased        512        0.0298     0.0283     0.0301
ring               ustat         512        0.0324     0.0296     0.0332
ring               split         512        0.8188     0.7577     0.8339

ring               biased       1024        0.0249     0.0236     0.0258
ring               ustat        1024        0.0237     0.0230     0.0247
ring               split        1024        0.7159     0.6735     0.8868

ring               biased       2048        0.0204     0.0204     0.0219
ring               ustat        2048        0.0206     0.0199     0.0216
ring               split        2048        0.6620     0.6255     0.6857

ring               biased       4096        0.0198     0.0189     0.0206
ring               ustat        4096        0.0193     0.0190     0.0224
ring               split        4096        0.5854     0.5721     0.6588

ring               biased      16384        0.0184     0.0174     0.0195
ring               ustat       16384        0.0182     0.0177     0.0284
ring               split       16384        0.4864     0.4407     0.4886

