Exp 1.8: latent dim sweep
  proj_dim=256, BS=32, T=8, num_proj=1024, epochs=80, n_seeds=3

Distribution   Loss              D  W1 (median[p25,p75])           mean_mse   cov_frob
------------------------------------------------------------------------------------------
blobs          w1                4  0.0626[0.0616,0.0744]       0.0062     0.1257
blobs          w1                8  0.0673[0.0622,0.0688]       0.0186     0.1940
blobs          w1               16  0.0725[0.0707,0.0744]       0.0587     0.2458
blobs          w1               32  0.0614[0.0601,0.0636]       0.0589     0.3875
blobs          w1               64  0.0690[0.0656,0.0727]       0.2249     0.5370

blobs          w2                4  0.0681[0.0637,0.0693]       0.0093     0.1032
blobs          w2                8  0.0592[0.0586,0.0703]       0.0181     0.1556
blobs          w2               16  0.0708[0.0682,0.0713]       0.0521     0.2186
blobs          w2               32  0.0575[0.0560,0.0585]       0.0558     0.2946
blobs          w2               64  0.0604[0.0597,0.0612]       0.2078     0.4529

blobs          sigreg            4  0.1107[0.0955,0.1130]       0.0302     0.1466
blobs          sigreg            8  0.0724[0.0716,0.0771]       0.0249     0.2189
blobs          sigreg           16  0.0686[0.0681,0.0767]       0.0354     0.3090
blobs          sigreg           32  0.1001[0.0933,0.1024]       0.1417     0.5360
blobs          sigreg           64  0.0730[0.0720,0.0766]       0.1471     0.6007

blobs          sigreg+w1         4  0.0983[0.0914,0.1053]       0.0226     0.1911
blobs          sigreg+w1         8  0.0699[0.0694,0.0786]       0.0193     0.2305
blobs          sigreg+w1        16  0.0669[0.0646,0.0693]       0.0331     0.2354
blobs          sigreg+w1        32  0.0774[0.0746,0.0870]       0.1003     0.4615
blobs          sigreg+w1        64  0.0687[0.0660,0.0702]       0.1343     0.5692

